,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,No of years,Brand
0,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,7,Maruti
1,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,5,7,Skoda
2,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497,78.0,5,15,Honda
3,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5,11,Hyundai
4,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,5,14,Maruti
5,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,4,Hyundai
6,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,5,14,Maruti
7,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,20,Maruti
8,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,5,10,Toyota
9,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,5,8,Ford
10,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5,7,Renault
11,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5,16,Maruti
12,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,12,Maruti
14,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5,12,Maruti
15,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,5,5,Mahindra
16,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7,5,Maruti
17,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,5,9,Hyundai
18,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,19,Maruti
19,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,5,Hyundai
20,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,5,10,Mahindra
21,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5,4,Honda
22,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,6,Maruti
23,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,5,9,Maruti
24,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,5,3,Tata
25,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,5,Maruti
26,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5,4,Maruti
27,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,7,8,Chevrolet
28,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,5,12,Maruti
29,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,3,Maruti
30,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,4,Maruti
32,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,5,9,Maruti
33,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,3,Hyundai
34,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,4,Maruti
35,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,4,2,Maruti
36,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,5,2,Maruti
37,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5,2,Hyundai
38,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,5,5,Datsun
39,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,7,10,Tata
40,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4,9,Maruti
41,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,5,2,Jeep
42,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,5,3,Honda
43,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5,8,Honda
44,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197,83.14,5,3,Maruti
45,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5,3,Maruti
46,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5,3,Maruti
47,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982,168.5,7,7,Toyota
48,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.0,7,8,Toyota
49,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,5,7,Mercedes-Benz
50,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,5,6,Honda
51,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,7,8,Mitsubishi
52,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,5,6,Honda
53,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25,5,3,Maruti
54,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,5,6,Honda
55,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7,5,Toyota
56,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,7,5,Toyota
57,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968,174.33,5,8,Audi
58,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5,3,Toyota
59,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968,187.74,5,8,Audi
60,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143,170.0,5,8,Mercedes-Benz
61,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5,10,Tata
62,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5,10,Hyundai
63,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,5,8,Hyundai
64,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0,5,6,Maruti
65,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,5,4,Ford
66,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,2,Maruti
67,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498,108.495,5,5,Volkswagen
68,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5,6,Honda
69,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5,3,Maruti
70,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5,4,Volkswagen
71,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,5,Maruti
72,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,5,2,Maruti
73,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,10,Hyundai
74,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5,5,Maruti
75,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7,6,Toyota
76,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5,8,Maruti
77,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7,9,Maruti
79,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5,8,Volkswagen
80,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8,5,Toyota
81,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,6,Ford
82,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998,189.0,5,5,BMW
83,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,5,4,Maruti
84,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,5,5,Datsun
85,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,5,Maruti
86,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,5,Maruti
88,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,5,9,Hyundai
89,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,5,4,Maruti
90,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,5,11,Maruti
91,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,5,6,Volkswagen
92,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,5,6,Hyundai
93,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,5,9,Volkswagen
94,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,5,12,Maruti
95,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,5,8,Hyundai
96,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,5,Maruti
97,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82.0,5,5,Hyundai
98,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,5,13,Maruti
99,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,4,Hyundai
100,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,5,12,Maruti
101,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,5,11,Tata
102,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,2,Maruti
103,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196,73.0,7,5,Maruti
104,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,3,Maruti
105,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,8,7,Mahindra
106,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,5,1,Ford
107,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5,4,Hyundai
108,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798,160.0,5,11,Volkswagen
109,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172,65.0,5,11,Tata
110,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179,155.0,7,2,Mahindra
